band,operating_point,repeat,seed,channel,wavelength_nm,spans,distance_km,analytical_gsnr_db,b2b_expected_receiver_snr_db,acquisition_success,cycle_slips,training_symbols,payload_symbols,failure_reason,sample_snr_db,snr_ci95_low_db,snr_ci95_high_db,sample_ber,sample_gmi,sample_ngmi,snr_consistency_error_db
C,high_margin,0,20280718,0,1550.6158912890319,2,160.0,28.783410338214694,23.578564257456232,True,0,539,2011,,23.85957095127636,23.707963653308084,24.212198886939156,0.0,4.0,1.0,0.2810066938201281
C,near_threshold,0,20281718,38,1535.5257181331795,2,160.0,23.364907779017912,20.386635960548084,True,0,539,2011,,20.724856557283317,20.496673897567682,20.897709418446006,0.0,4.0,1.0,0.3382205967352334
C,below_threshold,0,20282718,38,1535.5257181331795,2,160.0,23.364907779017912,20.386635960548084,True,0,539,2011,,21.313632124969764,21.21537685800567,21.529574256342308,0.0,4.0,1.0,0.9269961644216806
