source_id,spans,band,wavelength_nm,reference_value,model_value,residual,bias_corrected_model_value,bias_corrected_residual,abs_residual
gnpy_clean_cband_1span_flat_1535nm_actual_1535p000nm_gsnr,1,C,1535.000023,28.53,27.753551521011172,-0.7764484789888257,29.36592224244614,0.8359222424461379,0.7764484789888257
gnpy_clean_cband_1span_flat_1550nm_actual_1550p000nm_gsnr,1,C,1549.999992,28.58,27.18393796061956,-1.396062039380439,28.796308682054526,0.21630868205452813,1.396062039380439
gnpy_clean_cband_1span_flat_1560nm_actual_1560p000nm_gsnr,1,C,1560.000021,28.62,26.37180944964381,-2.2481905503561954,27.984180171078776,-0.6358198289212247,2.2481905503561954
gnpy_clean_cband_4span_flat_1535nm_actual_1535p000nm_gsnr,4,C,1535.000023,22.82,22.07221574998896,-0.7477842500110441,23.684586471423927,0.8645864714239266,0.7477842500110441
gnpy_clean_cband_4span_flat_1550nm_actual_1550p000nm_gsnr,4,C,1549.999992,22.87,21.32092081115208,-1.549079188847923,22.93329153258705,0.06329153258704778,1.549079188847923
gnpy_clean_cband_4span_flat_1560nm_actual_1560p000nm_gsnr,4,C,1560.000021,22.91,20.38571965377817,-2.524280346221825,21.99809037521314,-0.9119096247868619,2.524280346221825
gnpy_clean_cband_8span_flat_1535nm_actual_1535p000nm_gsnr,8,C,1535.000023,19.85,19.00399958383513,-0.8460004161648662,20.6163703052701,0.7663703052700974,0.8460004161648662
gnpy_clean_cband_8span_flat_1550nm_actual_1550p000nm_gsnr,8,C,1549.999992,19.9,18.189238869695703,-1.710761130304295,19.80160959113067,-0.09839040886932793,1.710761130304295
gnpy_clean_cband_8span_flat_1560nm_actual_1560p000nm_gsnr,8,C,1560.000021,19.94,17.227269907360704,-2.7127300926392977,18.83964062879567,-1.1003593712043305,2.7127300926392977
