spans,n,raw_bias_db,raw_rmse_db,linear_corrected_bias_db,linear_corrected_rmse_db,loo_linear_corrected_bias_db,loo_linear_corrected_rmse_db
1,3,-1.4735670229084867,1.5922962673483039,0.13880369852648164,0.20903867461638298,0.16141432161253041,0.2450564877658988
4,3,-1.607047928360264,1.763596598262397,0.005322793074706548,0.1274152772552106,-0.005969405290214762,0.1546596177442768
8,3,-1.756497213036153,1.9149695301859653,-0.14412649160118463,0.19880439277540965,-0.1977010488880436,0.2688189955871899
