strategy,spans,distance_km,minimum_gsnr_db,mean_gsnr_db,gsnr_std_db,metric_basis,gross_line_tbps,net_line_tbps,air_tbps,thresholded_net_capacity_tbps,working_channels,working_fraction,minimum_ngmi,mean_ngmi
flat,1,80.0,28.623949916242537,28.81747479457167,0.2555765956858771,calibrated_receiver,10.496,8.3968,10.496,8.3968,41,1.0,1.0,1.0
flat,2,160.0,25.953763392659948,26.17718721960691,0.2969490636261758,calibrated_receiver,10.496,8.3968,10.49599999997415,8.3968,41,1.0,1.0,1.0
fixed,1,80.0,26.289992118599187,28.638342662853603,1.4980507464353325,calibrated_receiver,10.496,8.3968,10.495999999999537,8.3968,41,1.0,1.0,1.0
fixed,2,160.0,23.364907779017912,26.01993912229562,1.7293053113070338,calibrated_receiver,10.496,8.3968,10.495998916736378,8.3968,41,1.0,0.9998006859353682,0.999976423605931
adaptive,1,80.0,26.289992118599187,28.638342662853603,1.4980507464353325,calibrated_receiver,10.496,8.3968,10.495999999999537,8.3968,41,1.0,1.0,1.0
adaptive,2,160.0,23.364907779017912,26.01993912229562,1.7293053113070338,calibrated_receiver,10.496,8.3968,10.495998916736378,8.3968,41,1.0,0.9998006859353682,0.999976423605931
