input_snr_db,repeats,measured_snr_db,measured_snr_std_db,ngmi,ngmi_std,ber,acquisition_fraction
8.0,1,7.920827229749056,,0.6064116284040788,,0.12015648286140089,1.0
12.0,1,11.184489820149848,,0.829054708230448,,0.045392449080973674,1.0
16.0,1,15.050729939262144,,0.9757111467181115,,0.006085444610034774,1.0
20.0,1,18.134747445664164,,0.9987513468044846,,0.00024838549428713363,1.0
24.0,1,20.509277135509635,,1.0,,0.0,1.0
28.0,1,23.12727768308162,,1.0,,0.0,1.0
32.0,1,23.70761757739544,,1.0,,0.0,1.0
33.837746,1,24.570045856321588,,1.0,,0.0,1.0
