source_id,source_type,tool_version,configuration_hash,date,provenance_reference,independent,strategy,spans,band,wavelength_nm,metric,metric_unit,reference_value,reference_uncertainty,notes,model_value,matched_wavelength_nm,wavelength_error_nm,interpolated,matched,external_row,residual,relative_residual,standardized_residual,linear_predicted_residual_db,linear_corrected_model_value,linear_corrected_residual,loo_linear_predicted_residual_db,loo_linear_corrected_residual
gnpy_clean_cband_1span_flat_1535nm_actual_1535p000nm_gsnr,gnpy,2.14.1,91be4e29054fb8ede78e36fa0291e03f2763ac56c6d3a2a9e60528ebe7ebf4a3,2026-07-20,external_validation/gnpy/raw_outputs/gnpy_scl_flat_1span.txt,True,flat,1,C,1535.000023,gsnr_db,dB,28.53,0.3,Calibration/train split copied from the original clean C-band GNPy set. Requested 1535.000 nm; actual nearest GNPy channel 1535.000023 nm.,30.695752756825843,1535.1325735619027,0.13255056190268988,0,1,0,2.1657527568258423,0.07591141804506983,7.219175856086141,2.6743929049888484,28.021359851836994,-0.508640148163007,2.890564740595707,-0.7248119837698646
gnpy_clean_cband_1span_flat_1550nm_actual_1550p000nm_gsnr,gnpy,2.14.1,91be4e29054fb8ede78e36fa0291e03f2763ac56c6d3a2a9e60528ebe7ebf4a3,2026-07-20,external_validation/gnpy/raw_outputs/gnpy_scl_flat_1span.txt,True,flat,1,C,1549.999992,gsnr_db,dB,28.58,0.3,Calibration/train split copied from the original clean C-band GNPy set. Requested 1550.000 nm; actual nearest GNPy channel 1549.999992 nm.,30.595706774808967,1549.999992,0.0,1,1,1,2.0157067748089688,0.07052857854475049,6.719022582696563,2.5432540466711595,28.05245272813781,-0.5275472718621899,2.6111561245390598,-0.595449349730091
gnpy_clean_cband_1span_flat_1560nm_actual_1560p000nm_gsnr,gnpy,2.14.1,91be4e29054fb8ede78e36fa0291e03f2763ac56c6d3a2a9e60528ebe7ebf4a3,2026-07-20,external_validation/gnpy/raw_outputs/gnpy_scl_flat_1span.txt,True,flat,1,C,1560.000021,gsnr_db,dB,28.62,0.3,Calibration/train split copied from the original clean C-band GNPy set. Requested 1560.000 nm; actual nearest GNPy channel 1560.000021 nm.,30.612831030321733,1560.000021,0.0,1,1,2,1.9928310303217316,0.06963071384771947,6.642770101072439,2.455827706909805,28.157003323411928,-0.4629966765880731,2.6137915195395447,-0.6209604892178131
gnpy_clean_cband_4span_flat_1535nm_actual_1535p000nm_gsnr,gnpy,2.14.1,6ca0dcb2fb9b608694b231eefcfdc615feea4d8cfd4ff096e7779af70b8709c4,2026-07-20,external_validation/gnpy/raw_outputs/gnpy_scl_flat_4span.txt,True,flat,4,C,1535.000023,gsnr_db,dB,22.82,0.3,Calibration/train split copied from the original clean C-band GNPy set. Requested 1535.000 nm; actual nearest GNPy channel 1535.000023 nm.,25.754516965319134,1535.1325735619027,0.13255056190268988,0,1,3,2.9345169653191334,0.12859408261696464,9.781723217730445,2.6743929049888484,23.080124060330284,0.2601240603302841,2.563840295624072,0.37067666969506163
gnpy_clean_cband_4span_flat_1550nm_actual_1550p000nm_gsnr,gnpy,2.14.1,6ca0dcb2fb9b608694b231eefcfdc615feea4d8cfd4ff096e7779af70b8709c4,2026-07-20,external_validation/gnpy/raw_outputs/gnpy_scl_flat_4span.txt,True,flat,4,C,1549.999992,gsnr_db,dB,22.87,0.3,Calibration/train split copied from the original clean C-band GNPy set. Requested 1550.000 nm; actual nearest GNPy channel 1549.999992 nm.,25.597704020488376,1549.999992,0.0,1,1,4,2.7277040204883747,0.11926996154299845,9.09234673496125,2.5432540466711595,23.054449973817217,0.18444997381721606,2.5195129770971305,0.20819104339124417
gnpy_clean_cband_4span_flat_1560nm_actual_1560p000nm_gsnr,gnpy,2.14.1,6ca0dcb2fb9b608694b231eefcfdc615feea4d8cfd4ff096e7779af70b8709c4,2026-07-20,external_validation/gnpy/raw_outputs/gnpy_scl_flat_4span.txt,True,flat,4,C,1560.000021,gsnr_db,dB,22.91,0.3,Calibration/train split copied from the original clean C-band GNPy set. Requested 1560.000 nm; actual nearest GNPy channel 1560.000021 nm.,25.624483261235564,1560.000021,0.0,1,1,5,2.7144832612355643,0.11848464693302332,9.048277537451881,2.455827706909805,23.16865555432576,0.2586555543257596,2.3675803833647393,0.34690287787082497
gnpy_clean_cband_8span_flat_1535nm_actual_1535p000nm_gsnr,gnpy,2.14.1,c26cf7d583e6d9c64002046a5ccd9a520beae6eac651c5f9819777bff91baee7,2026-07-20,external_validation/gnpy/raw_outputs/gnpy_scl_flat_8span.txt,True,flat,8,C,1535.000023,gsnr_db,dB,19.85,0.3,Calibration/train split copied from the original clean C-band GNPy set. Requested 1535.000 nm; actual nearest GNPy channel 1535.000023 nm.,22.82695219539019,1535.1325735619027,0.13255056190268988,0,1,6,2.97695219539019,0.14997240279043778,9.923173984633967,2.6743929049888484,20.152559290401342,0.3025592904013408,2.545805341812443,0.4311468535777472
gnpy_clean_cband_8span_flat_1550nm_actual_1550p000nm_gsnr,gnpy,2.14.1,c26cf7d583e6d9c64002046a5ccd9a520beae6eac651c5f9819777bff91baee7,2026-07-20,external_validation/gnpy/raw_outputs/gnpy_scl_flat_8span.txt,True,flat,8,C,1549.999992,gsnr_db,dB,19.9,0.3,Calibration/train split copied from the original clean C-band GNPy set. Requested 1550.000 nm; actual nearest GNPy channel 1549.999992 nm.,22.651243740915273,1549.999992,0.0,1,1,7,2.7512437409152746,0.13825345431735048,9.170812469717582,2.5432540466711595,20.107989694244115,0.20798969424411595,2.516483114154662,0.23476062676061238
gnpy_clean_cband_8span_flat_1560nm_actual_1560p000nm_gsnr,gnpy,2.14.1,c26cf7d583e6d9c64002046a5ccd9a520beae6eac651c5f9819777bff91baee7,2026-07-20,external_validation/gnpy/raw_outputs/gnpy_scl_flat_8span.txt,True,flat,8,C,1560.000021,gsnr_db,dB,19.94,0.3,Calibration/train split copied from the original clean C-band GNPy set. Requested 1560.000 nm; actual nearest GNPy channel 1560.000021 nm.,22.681233230404356,1560.000021,0.0,1,1,8,2.7412332304043545,0.1374740837715323,9.13744410134785,2.455827706909805,20.22540552349455,0.28540552349454984,2.358453909393546,0.38277932101080836
