spans,n,rmse_db,bias_db,mae_db,max_abs_error_db
1,3,1.5922962673483039,-1.4735670229084867,1.4735670229084867,2.2481905503561954
4,3,1.763596598262397,-1.607047928360264,1.607047928360264,2.524280346221825
8,3,1.9149695301859653,-1.756497213036153,1.756497213036153,2.7127300926392977
