tx_real,tx_imag,rx_real,rx_imag
0.9486832980505138,0.9486832980505138,0.9194932904406726,0.9397680766328735
-0.31622776601683794,-0.9486832980505138,-0.21376792610314369,-0.897807523899312
0.31622776601683794,-0.31622776601683794,0.31529244290980546,-0.24007254281687299
0.31622776601683794,-0.31622776601683794,0.3307143346726813,-0.22635607694806328
0.31622776601683794,-0.31622776601683794,0.39458594942356506,-0.30458978752803684
-0.9486832980505138,0.9486832980505138,-1.0709959285042987,0.9616014351286832
-0.9486832980505138,0.31622776601683794,-1.0202837105443383,0.17268864210582655
-0.9486832980505138,-0.9486832980505138,-0.889422960570063,-0.8561448998062285
-0.31622776601683794,-0.9486832980505138,-0.18918517875176055,-0.9748998153845032
0.31622776601683794,-0.31622776601683794,0.3274240562143723,-0.37639249326746355
-0.9486832980505138,0.9486832980505138,-0.9441475461826302,0.8433428877245361
0.31622776601683794,0.31622776601683794,0.3651042804024904,0.35927133446846443
-0.31622776601683794,0.9486832980505138,-0.3775321714184172,0.9642782255340344
0.31622776601683794,-0.9486832980505138,0.37495562154054823,-0.96166961348205
-0.31622776601683794,-0.9486832980505138,-0.30827993958247174,-0.9670524515903203
0.9486832980505138,0.31622776601683794,1.0366604908021937,0.2075319187911937
0.31622776601683794,0.31622776601683794,0.3594888413041038,0.311635027981198
-0.9486832980505138,0.31622776601683794,-1.0046408874295345,0.31473438759678285
-0.9486832980505138,0.9486832980505138,-0.9854276318935824,0.8825926508347016
0.31622776601683794,0.31622776601683794,0.283942262525299,0.32726320508753054
0.9486832980505138,0.31622776601683794,0.9920374402650245,0.3448077221137929
-0.31622776601683794,0.9486832980505138,-0.3542257348131481,0.9141615990280018
-0.31622776601683794,-0.31622776601683794,-0.26074401726283436,-0.28949026547338036
0.31622776601683794,-0.9486832980505138,0.20695881632277355,-0.8660693035677804
-0.9486832980505138,-0.9486832980505138,-0.8120477746767147,-1.102444357260518
-0.31622776601683794,0.9486832980505138,-0.3186995048349766,0.9779810842745489
-0.31622776601683794,-0.9486832980505138,-0.3109921074855377,-1.0989587736078832
0.31622776601683794,-0.9486832980505138,0.34490115261357257,-1.04889568647282
0.31622776601683794,0.31622776601683794,0.3407820847446554,0.33278618050200603
0.31622776601683794,-0.31622776601683794,0.17408643656892273,-0.23221794371730034
-0.9486832980505138,0.9486832980505138,-0.8512797562741897,1.015995937517363
0.9486832980505138,-0.31622776601683794,0.9357419848898177,-0.2194527721217851
-0.9486832980505138,0.31622776601683794,-0.8968901595278495,0.44176517718313907
-0.31622776601683794,0.31622776601683794,-0.3427270208120942,0.33089853435180416
