strategy,spans,distance_km,band,channels,minimum_gsnr_db,mean_gsnr_db,minimum_ngmi,mean_ngmi,working_fraction,metric_basis
flat,1,80.0,C,41,28.623949916242537,28.81747479457167,1.0,1.0,1.0,calibrated_receiver
flat,2,160.0,C,41,25.953763392659948,26.17718721960691,1.0,1.0,1.0,calibrated_receiver
fixed,1,80.0,C,41,26.289992118599187,28.638342662853603,1.0,1.0,1.0,calibrated_receiver
fixed,2,160.0,C,41,23.364907779017912,26.01993912229562,0.9998006859353682,0.999976423605931,1.0,calibrated_receiver
adaptive,1,80.0,C,41,26.289992118599187,28.638342662853603,1.0,1.0,1.0,calibrated_receiver
adaptive,2,160.0,C,41,23.364907779017912,26.01993912229562,0.9998006859353682,0.999976423605931,1.0,calibrated_receiver
