input_snr_db,repeat,seed,acquisition_success,measured_snr_db,ngmi,gmi,ber,failure_reason
4.0,0,20270718,False,4.750136532570632,0.3523234430414503,1.4092937721658012,0.21472925981122704,"pilot phase recovery failed (reliability=0.8255, slips=4)"
4.0,1,20270719,False,4.164111746024394,0.3098315825274889,1.2393263301099555,0.2316194734227521,"pilot phase recovery failed (reliability=0.8351, slips=15)"
4.0,2,20270720,False,4.452940116582922,0.333104972036081,1.332419888144324,0.22000745156482862,"pilot phase recovery failed (reliability=0.8264, slips=10)"
6.0,0,20270818,False,6.064731043618189,0.45667053771548044,1.8266821508619218,0.17374565325384997,"pilot phase recovery failed (reliability=0.8701, slips=1)"
6.0,1,20270819,False,5.59764257747077,0.42873036331887077,1.714921453275483,0.18361897665176352,"pilot phase recovery failed (reliability=0.8851, slips=3)"
6.0,2,20270820,False,6.108370483828866,0.46360100518323866,1.8544040207329546,0.16902632886239444,"pilot phase recovery failed (reliability=0.877, slips=4)"
6.25,0,20270918,False,6.45496460599815,0.4843067309075624,1.9372269236302495,0.16381023348236462,"pilot phase recovery failed (reliability=0.8756, slips=3)"
6.25,1,20270919,False,6.195869646602562,0.4700764910731737,1.8803059642926947,0.16983358171882762,"pilot phase recovery failed (reliability=0.8693, slips=6)"
6.25,2,20270920,False,5.657761772453677,0.429612817534313,1.718451270137252,0.18082463984103328,"pilot phase recovery failed (reliability=0.8776, slips=4)"
6.5,0,20271018,False,6.254506087016878,0.4738273027117008,1.8953092108468033,0.16598360655737704,"pilot phase recovery failed (reliability=0.8873, slips=1)"
6.5,1,20271019,True,6.598971088505278,0.49624937921860424,1.984997516874417,0.16244411326378538,
6.5,2,20271020,True,6.819973051001838,0.5168742702072948,2.0674970808291793,0.15368852459016394,
6.75,0,20271118,True,6.43979270362934,0.4900804900339584,1.9603219601358337,0.15902881271733732,
6.75,1,20271119,True,6.7718601716075675,0.5189684631764534,2.0758738527058136,0.15114257327372083,
6.75,2,20271120,False,6.633209512820281,0.5002532218978869,2.0010128875915476,0.15449577744659712,"pilot phase recovery failed (reliability=0.8874, slips=1)"
7.0,0,20271218,True,7.175231781865645,0.5446453767718644,2.1785815070874577,0.14027570789865873,
7.0,1,20271219,False,6.822699561341814,0.5209348688643027,2.083739475457211,0.14841033283656235,"pilot phase recovery failed (reliability=0.8927, slips=6)"
7.0,2,20271220,True,7.02559183157957,0.5337559015926557,2.135023606370623,0.1452434177844014,
7.25,0,20271318,True,6.938791673111635,0.5314883197098762,2.125953278839505,0.1410829607550919,
7.25,1,20271319,True,6.936285509759074,0.5265030074526174,2.1060120298104694,0.1485345255837059,
7.25,2,20271320,False,6.570487016771899,0.5115000300650421,2.0460001202601683,0.14847242921013415,"pilot phase recovery failed (reliability=0.8937, slips=6)"
7.5,0,20271418,True,7.320142794050306,0.5568198157207214,2.2272792628828855,0.13741927471435667,
7.5,1,20271419,False,7.1324131260326435,0.5484527497057582,2.1938109988230328,0.13673621460506707,"pilot phase recovery failed (reliability=0.9011, slips=1)"
7.5,2,20271420,False,7.170855277496714,0.5450241135618027,2.1800964542472108,0.13828862394436164,"pilot phase recovery failed (reliability=0.9047, slips=2)"
7.75,0,20271518,True,7.354005116791975,0.5601010276991069,2.2404041107964274,0.13518380526577248,
7.75,1,20271519,False,8.047064967080864,0.6171744826355487,2.468697930542195,0.11394684550422254,"pilot phase recovery failed (reliability=0.9073, slips=2)"
7.75,2,20271520,True,7.565565529770548,0.5757502134429315,2.303000853771726,0.13127173373075013,
8.0,0,20271618,True,7.950181368244619,0.6014666857428055,2.405866742971222,0.11879036264282167,
8.0,1,20271619,True,7.739383713847019,0.594034925953542,2.376139703814168,0.12170889220069547,
8.0,2,20271620,False,7.541438232099043,0.5751063041554497,2.300425216621799,0.12816691505216093,"pilot phase recovery failed (reliability=0.9075, slips=2)"
8.25,0,20271718,False,8.300373183805549,0.6296488027096268,2.518595210838507,0.11096621957277694,"pilot phase recovery failed (reliability=0.9131, slips=1)"
8.25,1,20271719,False,7.701948072539942,0.5916906765699427,2.3667627062797707,0.1235096870342772,"pilot phase recovery failed (reliability=0.9076, slips=2)"
8.25,2,20271720,True,7.9830153102788834,0.6046494462553352,2.418597785021341,0.12015648286140089,
8.5,0,20271818,False,8.218304638557573,0.6223478537766318,2.4893914151065273,0.11556135121708892,"pilot phase recovery failed (reliability=0.917, slips=2)"
8.5,1,20271819,False,7.584034534543649,0.5886895417171694,2.3547581668686774,0.1220193740685544,"pilot phase recovery failed (reliability=0.9145, slips=1)"
8.5,2,20271820,False,8.060088636052095,0.6155748808262878,2.462299523305151,0.11351217088922007,"pilot phase recovery failed (reliability=0.9189, slips=1)"
8.75,0,20271918,False,8.099344454591835,0.6157792526408767,2.463117010563507,0.117548435171386,"pilot phase recovery failed (reliability=0.9169, slips=1)"
8.75,1,20271919,False,6.633063344304375,0.5326788857418929,2.1307155429675717,0.12866368604073522,"pilot phase recovery failed (reliability=0.9136, slips=2)"
8.75,2,20271920,True,8.74817323841761,0.6656445407057094,2.6625781628228378,0.0987953303527074,
9.0,0,20272018,True,8.136273857876182,0.6189098860230728,2.4756395440922914,0.1126428216592151,
9.0,1,20272019,False,8.331541386267375,0.6378172589458393,2.551269035783357,0.10276949826130155,"pilot phase recovery failed (reliability=0.9241, slips=2)"
9.0,2,20272020,False,8.09065455463081,0.6182645218518452,2.473058087407381,0.11133879781420766,"pilot phase recovery failed (reliability=0.9217, slips=2)"
9.25,0,20272118,True,8.8110825676586,0.6721919921542486,2.6887679686169945,0.09780178837555886,
9.25,1,20272119,True,8.921947403631684,0.6842455648236776,2.7369822592947104,0.0917163437655241,
9.25,2,20272120,True,8.935981744539784,0.6748646814011114,2.6994587256044458,0.09593889716840537,
9.5,0,20272218,False,8.416982831918512,0.6494123877103629,2.5976495508414517,0.09935419771485346,"pilot phase recovery failed (reliability=0.9308, slips=2)"
9.5,1,20272219,True,8.594766072624768,0.6560178934486027,2.624071573794411,0.10096870342771982,
9.5,2,20272220,True,9.172684493806958,0.6958201519670695,2.783280607868278,0.092026825633383,
9.75,0,20272318,True,9.0957019564636,0.690446468666078,2.761785874664312,0.08997764530551416,
9.75,1,20272319,True,8.78418907480905,0.6687593228955913,2.675037291582365,0.09786388474913066,
9.75,2,20272320,True,9.168892558608412,0.7000019066606552,2.800007626642621,0.08712121212121213,
10.0,0,20272418,True,9.417678897724159,0.7177686146247083,2.8710744584988332,0.08122205663189269,
10.0,1,20272419,True,9.517596009600735,0.7197862023037157,2.879144809214863,0.08277446597118729,
10.0,2,20272420,True,9.886798661366802,0.7474102658612686,2.9896410634450743,0.07265275707898658,
10.25,0,20272518,True,9.311344064117128,0.7113927692390692,2.845571076956277,0.08091157476403378,
10.25,1,20272519,True,9.890747859498212,0.7503429362893614,3.0013717451574458,0.07389468455042225,
10.25,2,20272520,True,8.627396543169304,0.6602749073232407,2.6410996292929627,0.0927719821162444,
10.5,0,20272618,True,10.054893406819929,0.7588853473738211,3.0355413894952843,0.06948584202682563,
10.5,1,20272619,False,9.86979020530227,0.740925412412982,2.963701649651928,0.07165921510183806,"pilot phase recovery failed (reliability=0.9446, slips=1)"
10.5,2,20272620,True,9.83999575791807,0.7426044351278976,2.9704177405115906,0.07116244411326378,
10.75,0,20272718,True,10.353182202010906,0.7782805654769964,3.1131222619079857,0.06147540983606557,
10.75,1,20272719,True,9.775674364396481,0.7333102646189424,2.9332410584757698,0.07495032290114256,
10.75,2,20272720,True,10.055274254810575,0.7558529048798153,3.023411619519261,0.06929955290611028,
11.0,0,20272818,True,10.336890342640231,0.7855147327812617,3.142058931125047,0.05923994038748137,
11.0,1,20272819,True,10.21866940773232,0.7701554520944225,3.08062180837769,0.06346249379036265,
