band,operating_point,repeat,seed,channel,wavelength_nm,spans,distance_km,analytical_gsnr_db,b2b_expected_receiver_snr_db,acquisition_success,cycle_slips,training_symbols,payload_symbols,failure_reason,sample_snr_db,snr_ci95_low_db,snr_ci95_high_db,sample_ber,sample_gmi,sample_ngmi,snr_consistency_error_db
C,high_margin,0,20280718,0,1550.6158912890319,2,160.0,28.783410338214694,23.57856425745623,True,0,539,2011,,23.859570951276357,23.707963653308084,24.212198886939145,0.0,4.0,1.0,0.2810066938201281
C,near_threshold,0,20281718,38,1535.5257181331795,2,160.0,23.364907779017912,20.386635960548084,True,0,539,2011,,20.72485655728332,20.496673897567675,20.897709418446002,0.0,4.0,1.0,0.33822059673523697
C,below_threshold,0,20282718,38,1535.5257181331795,2,160.0,23.364907779017912,20.386635960548084,True,0,539,2011,,21.31363212496977,21.215376858005683,21.529574256342315,0.0,4.0,1.0,0.9269961644216878
