tx_real,tx_imag,rx_real,rx_imag
0.9486832980505138,0.31622776601683794,0.8937261862283479,0.3283190229858543
0.31622776601683794,-0.9486832980505138,0.3113184586668777,-0.9686563327801988
0.9486832980505138,0.31622776601683794,0.9894256953296239,0.34352089925920326
-0.31622776601683794,-0.9486832980505138,-0.33969034848652657,-0.926629243319066
-0.31622776601683794,0.9486832980505138,-0.3074606233806354,1.0496052878739959
-0.9486832980505138,-0.9486832980505138,-0.9731394847853567,-0.9907948512863936
0.31622776601683794,0.9486832980505138,0.3151905970620827,0.9946381466759296
0.31622776601683794,0.31622776601683794,0.26664574062556534,0.2734368325781648
-0.31622776601683794,-0.9486832980505138,-0.3287798658204513,-0.9855971523902701
-0.31622776601683794,-0.31622776601683794,-0.29633830263447886,-0.25867570432025905
0.31622776601683794,0.31622776601683794,0.31851913831469447,0.22494607964420432
0.9486832980505138,0.9486832980505138,0.9253913577412982,0.9684822354744794
-0.31622776601683794,-0.31622776601683794,-0.29286128510582987,-0.39937015985545743
0.31622776601683794,0.9486832980505138,0.3145167832831559,0.9733000199367152
-0.9486832980505138,-0.9486832980505138,-0.9811235363718874,-0.9460998025626947
-0.31622776601683794,0.31622776601683794,-0.28147720963671236,0.27103263112811377
0.31622776601683794,0.9486832980505138,0.287070933815231,0.920929699908757
0.9486832980505138,0.9486832980505138,0.9429101993778095,0.9497949583718296
-0.9486832980505138,0.9486832980505138,-0.8893135911850383,0.946947753901927
-0.9486832980505138,-0.31622776601683794,-0.960791274780216,-0.2939097436290963
-0.9486832980505138,0.31622776601683794,-0.965089004713171,0.2897003169827797
-0.9486832980505138,0.9486832980505138,-0.9438190151973137,0.9497803688422705
0.9486832980505138,0.31622776601683794,0.9119869805427883,0.29465312074973904
-0.31622776601683794,-0.9486832980505138,-0.30108113640486095,-0.927724945215382
-0.9486832980505138,-0.31622776601683794,-0.9781205593728121,-0.3032117032571753
0.31622776601683794,-0.31622776601683794,0.39930224689682564,-0.3062470754473077
0.9486832980505138,0.9486832980505138,0.9486410660325766,1.0214201325443064
0.31622776601683794,-0.9486832980505138,0.40812040869887745,-0.9933276291451192
0.31622776601683794,-0.31622776601683794,0.2981804441772739,-0.3180186989774895
-0.31622776601683794,-0.9486832980505138,-0.33096168607467696,-0.9628945083334344
0.9486832980505138,-0.31622776601683794,0.9431659645660092,-0.32650926716319634
-0.9486832980505138,0.9486832980505138,-0.9852314073812886,0.9612447954855949
0.31622776601683794,-0.9486832980505138,0.30121760287059896,-0.9866154137515439
-0.31622776601683794,-0.31622776601683794,-0.30208002535199074,-0.3015258344368076
-0.31622776601683794,-0.31622776601683794,-0.34244934371247765,-0.3686863271804489
-0.31622776601683794,0.31622776601683794,-0.3009377780252308,0.3492593129249597
