band,operating_point,repeat,seed,channel,wavelength_nm,spans,distance_km,analytical_gsnr_db,b2b_expected_receiver_snr_db,acquisition_success,cycle_slips,training_symbols,payload_symbols,failure_reason,sample_snr_db,snr_ci95_low_db,snr_ci95_high_db,sample_ber,sample_gmi,sample_ngmi,snr_consistency_error_db
S,high_margin,0,20280718,29,1528.8695276446808,2,160.0,28.475860503494523,23.196317891658154,True,0,541,2013,,23.646038378303587,23.428242222104007,24.046863133243054,0.0,4.0,1.0,0.4497204866454325
S,near_threshold,0,20281718,39,1513.433235674009,2,160.0,28.301683033863835,23.171047358078823,True,0,541,2013,,23.493467834689596,23.24545050255188,23.787978434810398,0.0,4.0,1.0,0.3224204766107732
S,below_threshold,0,20282718,39,1513.433235674009,2,160.0,28.301683033863835,23.171047358078823,True,0,541,2013,,23.744062548201228,23.3526515565971,24.09315442202217,0.0,4.0,1.0,0.5730151901224048
C,high_margin,0,20283718,28,1530.4304932279274,2,160.0,28.678816900284808,23.22576381512405,True,0,541,2013,,23.309829323741813,22.95885343919231,23.823414157333485,0.0,4.0,1.0,0.08406550861776196
C,near_threshold,0,20284718,7,1563.9632091830617,2,160.0,28.40659141330928,23.186267987538823,True,0,541,2013,,23.69189067365737,23.36952879783562,23.88492935478118,0.0,4.0,1.0,0.5056226861185458
C,below_threshold,0,20285718,7,1563.9632091830617,2,160.0,28.40659141330928,23.186267987538823,True,0,541,2013,,23.73064973225575,23.33375213454769,24.005772012395575,0.0,4.0,1.0,0.5443817447169259
L,high_margin,0,20286718,0,1575.469727359314,2,160.0,28.782358285000438,23.240786114189792,True,0,541,2013,,23.781973919894853,23.514303131103105,24.1400918205434,0.0,4.0,1.0,0.5411878057050608
L,near_threshold,0,20287718,5,1567.2335992465999,2,160.0,28.32876336780761,23.17497630761355,True,0,541,2013,,22.903321455074533,22.54301962216111,23.15588513749084,0.0,4.0,1.0,-0.2716548525390188
L,below_threshold,0,20288718,5,1567.2335992465999,2,160.0,28.32876336780761,23.17497630761355,True,0,541,2013,,23.437218594294485,22.844935940353693,23.965844149421113,0.0,4.0,1.0,0.26224228668093374
