input_snr_db,repeat,seed,acquisition_success,measured_snr_db,ngmi,gmi,ber,failure_reason
8.0,0,20270718,True,7.837454902826433,0.5998194275933628,2.3992777103734513,0.12077324714072601,
12.0,0,20270818,True,11.190646902068782,0.8299620579929476,3.3198482319717906,0.046059174540029835,
16.0,0,20270918,True,14.941331056766838,0.9725593957931067,3.8902375831724267,0.007086026852312282,
20.0,0,20271018,True,18.111338012041514,0.9987446606458283,3.9949786425833134,0.0001864743908503232,
